Gene Name	Accession-1	Product	GO terms (biological process)	GO terms (cellular component)	GO terms (molecular function)	UniProt	Synonyms
yggL	b2959	putative ribosome assembly factor YggL	ribosome assembly	cytosol	ribosomal large subunit binding // ribosome binding	P38521	
yggN	b2958	DUF2884 domain-containing protein YggN	single-species biofilm formation			P0ADS9	ecfF
ansB	b2957	L-asparaginase 2	protein homotetramerization // asparagine catabolic process // asparagine metabolic process // amino acid metabolic process	cytosol // periplasmic space // protein-containing complex // outer membrane-bounded periplasmic space	identical protein binding // hydrolase activity // asparaginase activity	P00805	
yggM	b2956	DUF1202 domain-containing protein YggM		outer membrane-bounded periplasmic space		P46142	
hemW	b2955	heme chaperone HemW	porphyrin-containing compound biosynthetic process	cytoplasm // cytosol	catalytic activity // coproporphyrinogen oxidase activity // iron-sulfur cluster binding // metal ion binding // protein homodimerization activity // heme binding // 4 iron, 4 sulfur cluster binding	P52062	yggW
rdgB	b2954	dITP/XTP pyrophosphatase	purine nucleoside triphosphate catabolic process // nucleotide metabolic process // nucleoside triphosphate catabolic process	cytoplasm // cytosol	protein homodimerization activity // XTP diphosphatase activity // ITP diphosphatase activity // dITP diphosphatase activity // metal ion binding // hydrolase activity // ribonucleoside triphosphate phosphatase activity // nucleotide binding // nucleoside triphosphate diphosphatase activity // magnesium ion binding	P52061	yggV
yggU	b2953	DUF167 domain-containing protein YggU		cytoplasm		P52060	
yggT	b2952	uncharacterized protein YggT	cellular hyperosmotic response	membrane // plasma membrane		P64564	
yggS	b2951	PLP homeostasis protein		cytosol	pyridoxal phosphate binding	P67080	
yggR	b2950	Type II/IV secretion system family protein		cytosol	ATP hydrolysis activity // protein binding // ATP binding // nucleotide binding	P52052	
yqgF	b2949	ribonuclease H-like domain-containing nuclease	DNA metabolic process // rRNA processing // ribosome biogenesis // rRNA 5'-end processing // nucleobase-containing compound metabolic process // transcription antitermination // DNA damage response	cytoplasm // cytosol	hydrolase activity, acting on ester bonds // hydrolase activity // 3'-5'-DNA exonuclease activity // protein binding // nuclease activity	P0A8I1	
yqgE	b2948	DUF179 domain-containing protein YqgE		cytosol		P0A8W5	
gshB	b2947	glutathione synthetase	protein homotetramerization // glutathione biosynthetic process	cytoplasm // cytosol	catalytic activity // identical protein binding // metal ion binding // ligase activity // ATP binding // nucleotide binding // magnesium ion binding // glutathione synthase activity	P04425	gsh-II
rsmE	b2946	16S rRNA m<sup>3</sup>U1498 methyltransferase	methylation // rRNA processing // rRNA base methylation	cytoplasm // cytosol	transferase activity // methyltransferase activity // protein homodimerization activity // rRNA (uridine-N3-)-methyltransferase activity	P0AGL7	yggJ
endA	b2945	DNA-specific endonuclease I	DNA catabolic process	periplasmic space // outer membrane-bounded periplasmic space	hydrolase activity // nuclease activity // deoxyribonuclease I activity // endodeoxyribonuclease activity, producing 5'-phosphomonoesters // endonuclease activity	P25736	
yggI	b2944	protein YggI	response to stress // cellular response to stimulus	cytoplasm // cytosol	zinc ion binding // metal ion binding	P39902	sprT
galP	b2943	galactose:H<sup>+</sup> symporter	organic substance transport // transmembrane transport // galactose transmembrane transport	membrane // plasma membrane	transmembrane transporter activity // symporter activity // galactose:proton symporter activity	P0AEP1	Pgal
metK	b2942	methionine adenosyltransferase	S-adenosylmethionine cycle // one-carbon metabolic process // S-adenosylmethionine biosynthetic process	cytoplasm // cytosol	protein binding // metal ion binding // transferase activity // identical protein binding // ATP binding // nucleotide binding // potassium ion binding // magnesium ion binding // methionine adenosyltransferase activity	P0A817	metX
yqgD	b2941	DUF2684 domain-containing protein YqgD		membrane		P46879	
yqgC	b2940	protein YqgC				P64570	
yqgB	b2939	acid stress response protein YqgB	response to acidic pH	cytoplasm		P64567	
speA	b2938	biosynthetic arginine decarboxylase	protein homotetramerization // putrescine biosynthetic process from arginine // polyamine biosynthetic process // spermidine biosynthetic process // putrescine biosynthetic process // arginine catabolic process	periplasmic space // outer membrane-bounded periplasmic space	protein binding // magnesium ion binding // identical protein binding // pyridoxal phosphate binding // carboxy-lyase activity // lyase activity // catalytic activity // metal ion binding // arginine decarboxylase activity	P21170	
speB	b2937	agmatinase	putrescine biosynthetic process from arginine, using agmatinase // polyamine biosynthetic process // putrescine biosynthetic process from arginine // spermidine biosynthetic process // putrescine biosynthetic process	cytosol	identical protein binding // metal ion binding // hydrolase activity, acting on carbon-nitrogen (but not peptide) bonds, in linear amidines // hydrolase activity // manganese ion binding // agmatinase activity	P60651	
loiP	b2936	metalloprotease LoiP	proteolysis involved in protein catabolic process // proteolysis // cellular hypotonic response // cellular response to heat // cellular response to UV	cell outer membrane // membrane	hydrolase activity // peptidase activity // metalloendopeptidase activity // metal ion binding // protein binding // metallopeptidase activity	P25894	yggG
tktA	b2935	transketolase 1	pentose-phosphate shunt // pentose-phosphate shunt, non-oxidative branch	cytosol	transketolase or transaldolase activity // magnesium ion binding // metal ion binding // transferase activity // catalytic activity // protein homodimerization activity // manganese ion binding // thiamine pyrophosphate binding // transketolase activity	P27302	tkt
cmtB	b2934	mannitol-specific PTS enzyme IIA component CmtB	organic substance transport // phosphorylation // phosphoenolpyruvate-dependent sugar phosphotransferase system	cytosol // cytoplasm	kinase activity // transferase activity	P69824	tolM
cmtA	b2933	mannitol-specific PTS enzyme IICB component CmtA	organic substance transport // mannitol transmembrane transport // phosphorylation // phosphoenolpyruvate-dependent sugar phosphotransferase system	membrane // plasma membrane	protein-N(PI)-phosphohistidine-mannitol phosphotransferase system transmembrane transporter activity // kinase activity // transferase activity // protein-N(PI)-phosphohistidine-sugar phosphotransferase activity	P69826	
yggF	b2930	fructose 1,6-bisphosphatase YggF	fructose 1,6-bisphosphate metabolic process // gluconeogenesis // glycerol metabolic process	cytosol	metal ion binding // hydrolase activity // protein homodimerization activity // manganese ion binding // fructose 1,6-bisphosphate 1-phosphatase activity	P21437	yggK
fumE	b2929	fumarase E	negative regulation of DNA-templated transcription	cytosol	lyase activity // fumarate hydratase activity	P11663	yggD
yggC	b2928	P-loop NTPase domain-containing protein YggC	photorespiration // phosphorylation	cytosol	glycerate kinase activity // transferase activity // kinase activity // ATP binding // nucleotide binding	P11664	
epd	b2927	D-erythrose-4-phosphate dehydrogenase	glucose metabolic process // pyridoxal phosphate biosynthetic process // pyridoxine biosynthetic process	cytoplasm // cytosol	oxidoreductase activity, acting on the aldehyde or oxo group of donors, NAD or NADP as acceptor // oxidoreductase activity // NAD binding // erythrose-4-phosphate dehydrogenase activity // glyceraldehyde-3-phosphate dehydrogenase (NAD+) (phosphorylating) activity	P0A9B6	gapB // gap2
pgk	b2926	phosphoglycerate kinase	gluconeogenesis // phosphorylation // glycolytic process	cytoplasm // cytosol	guanosine tetraphosphate binding // ADP binding // transferase activity // kinase activity // ATP binding // nucleotide binding // phosphoglycerate kinase activity	P0A799	
fbaA	b2925	fructose-bisphosphate aldolase class II	gluconeogenesis // carbohydrate metabolic process // glycolytic process	cytosol	identical protein binding // aldehyde-lyase activity // lyase activity // metal ion binding // zinc ion binding // protein binding // protein homodimerization activity // fructose-bisphosphate aldolase activity	P0AB71	ald // fba // fda
mscS	b2924	small conductance mechanosensitive channel MscS	protein homooligomerization // monoatomic ion transmembrane transport // transmembrane transport // monoatomic ion transport // intracellular water homeostasis	membrane // plasma membrane	identical protein binding // mechanosensitive monoatomic ion channel activity	P0C0S1	yggB
argO	b2923	L-arginine exporter	L-arginine transmembrane transport // amino acid transport	membrane // plasma membrane	amino acid transmembrane transporter activity // L-arginine transmembrane transporter activity	P11667	yggA
yggE	b2922	DUF541 domain-containing protein YggE	cellular response to heat // DNA damage response // cellular response to reactive oxygen species	outer membrane-bounded periplasmic space	identical protein binding	P0ADS6	
srsR	b2921	DNA-binding transcriptional activator YgfI	DNA damage response // regulation of DNA-templated transcription // DNA-templated transcription	cytosol	DNA-binding transcription factor activity // DNA binding	P52044	ygfI
scpC	b2920	propionyl-CoA:succinate CoA transferase	acetate metabolic process // acetyl-CoA metabolic process	cytosol	CoA-transferase activity // acetate CoA-transferase activity // acetyl-CoA hydrolase activity // transferase activity // propionyl-CoA:succinate CoA-transferase activity	P52043	ygfH
scpB	b2919	methylmalonyl-CoA decarboxylase	fatty acid beta-oxidation	cytosol	lyase activity // catalytic activity // carboxy-lyase activity // methyl/ethyl malonyl-CoA decarboxylase activity	P52045	ygfG
argK	b2918	methylmalonyl-CoA mutase-interacting GTPase YgfD		cytoplasm // plasma membrane // cytosol	hydrolase activity // GTP binding // ATP binding // nucleotide binding // protein binding // GTPase activity	P27254	ygfD
scpA	b2917	methylmalonyl-CoA mutase	propionate metabolic process, methylmalonyl pathway	cytoplasm // cytosol	intramolecular transferase activity // isomerase activity // catalytic activity // metal ion binding // protein binding // cobalamin binding // methylmalonyl-CoA mutase activity	P27253	yliK // sbm
argP	b2916	DNA-binding transcriptional dual regulator ArgP	regulation of DNA-templated transcription // positive regulation of DNA-templated transcription // negative regulation of DNA-templated transcription // negative regulation of DNA-templated DNA replication initiation	cytosol // cytoplasm	DNA binding // bent DNA binding // sequence-specific DNA binding // DNA-binding transcription factor activity	P0A8S1	iciA
yqfE	b2915	putative protein YqfE		cytosol		P64562	
rpiA	b2914	ribose-5-phosphate isomerase A	small molecule metabolic process // pentose-phosphate shunt, non-oxidative branch // pentose-phosphate shunt // D-ribose metabolic process	intracellular membrane-bounded organelle // cytosol	identical protein binding // isomerase activity // protein homodimerization activity // ribose-5-phosphate isomerase activity	P0A7Z0	ygfC
serA	b2913	phosphoglycerate dehydrogenase	amino acid biosynthetic process // L-serine biosynthetic process	cytosol	oxidoreductase activity, acting on the CH-OH group of donors, NAD or NADP as acceptor // oxidoreductase activity // NAD binding // NADH binding // NAD+ binding // serine binding // identical protein binding // phosphoglycerate dehydrogenase activity // 2-hydroxyglutarate dehydrogenase activity	P0A9T0	
fau	b2912	putative 5-formyltetrahydrofolate cyclo-ligase	tetrahydrofolate interconversion // folic acid-containing compound biosynthetic process // dormancy process		ligase activity // nucleotide binding // ATP binding // protein binding // 5-formyltetrahydrofolate cyclo-ligase activity	P0AC28	ygfA
ssrS	b2911	6S RNA					ssr
zapA	b2910	cell division protein ZapA	cell septum assembly // septin ring assembly // division septum assembly // cell cycle // FtsZ-dependent cytokinesis // cell division	plasma membrane // cell division site // cell septum // cytoplasm // cytosol	protein binding // identical protein binding	P0ADS2	ygfE
ygfB	b2909	PF03695 family protein YgfB		cytosol		P0A8C4	
pepP	b2908	Xaa-Pro aminopeptidase	proteolysis // protein homotetramerization	cytoplasm // protein-containing complex // cytosol	transition metal ion binding // metalloaminopeptidase activity // hydrolase activity // peptidase activity // metal ion binding // metallopeptidase activity // protein binding // identical protein binding // manganese ion binding // metalloexopeptidase activity // aminopeptidase activity	P15034	
ubiH	b2907	2-octaprenyl-6-methoxyphenol 4-hydroxylase	xanthophyll biosynthetic process // carotene biosynthetic process // response to light stimulus // response to oxidative stress // ubiquinone biosynthetic process	cytoplasm // ubiquinone biosynthesis complex // cytosol	3-demethoxyubiquinol 3-hydroxylase activity // 2-octaprenylphenol hydroxylase activity // oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen // FAD binding // oxidoreductase activity // flavin adenine dinucleotide binding // oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen, NAD(P)H as one donor, and incorporation of one atom of oxygen // monooxygenase activity // protein binding // 2-octaprenyl-6-methoxyphenol hydroxylase activity	P25534	acd // visB
ubiI	b2906	2-octaprenylphenol 6-hydroxylase	xanthophyll biosynthetic process // carotene biosynthetic process // ubiquinone biosynthetic process	cytoplasm // ubiquinone biosynthesis complex // cytosol	3-demethoxyubiquinol 3-hydroxylase activity // 2-octaprenyl-6-methoxyphenol hydroxylase activity // oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen // FAD binding // flavin adenine dinucleotide binding // oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen, NAD(P)H as one donor, and incorporation of one atom of oxygen // oxidoreductase activity // monooxygenase activity // protein binding // 2-octaprenylphenol hydroxylase activity	P25535	visC
gcvT	b2905	aminomethyltransferase	one-carbon metabolic process // glycine catabolic process // glycine decarboxylation via glycine cleavage system // 10-formyltetrahydrofolate biosynthetic process	glycine cleavage complex // cytosol	transferase activity // transaminase activity // aminomethyltransferase activity	P27248	
gcvH	b2904	lipoyl-GcvH-protein // glycine cleavage system H protein	one-carbon metabolic process // glycine decarboxylation via glycine cleavage system	glycine cleavage complex // cytoplasm // cytosol		P0A6T9	gcv
gcvP	b2903	glycine decarboxylase	one-carbon metabolic process // glycine decarboxylation via glycine cleavage system // glycine catabolic process // glycine metabolic process	glycine cleavage complex // cytosol	pyridoxal phosphate binding // glycine binding // oxidoreductase activity // catalytic activity // identical protein binding // glycine dehydrogenase (decarboxylating) activity	P33195	
ygfF	b2902	putative oxidoreductase YgfF		cytosol	oxidoreductase activity, acting on CH-OH group of donors // protein binding // oxidoreductase activity	P52037	yqfD
bglA	b2901	6-phospho-&beta;-glucosidase A	carbohydrate metabolic process // metabolic process // carbohydrate catabolic process	cytosol	methyl beta-D-glucoside 6-phosphate glucohydrolase activity // beta-glucosidase activity // hydrolase activity, acting on glycosyl bonds // hydrolase activity // hydrolase activity, hydrolyzing O-glycosyl compounds // 6-phospho-beta-glucosidase activity // glucosidase activity	Q46829	yqfC // bglD
yqfB	b2900	<i>N</i><sup>4</sup>-acetylcytidine amidohydrolase	pyrimidine nucleoside catabolic process	cytosol	hydrolase activity, acting on carbon-nitrogen (but not peptide) bonds, in linear amidines // hydrolase activity // N4-acetylcytidine amidohydrolase activity	P67603	
trhA	b2899	transmembrane homeostasis protein A	regulation of membrane potential	membrane // plasma membrane	pore-forming activity	P67153	yqfA
ygfZ	b2898	folate-binding protein YgfZ	iron-sulfur cluster assembly // RNA modification // tRNA processing	cytoplasm // cytosol	folic acid binding	P0ADE8	yzzW
sdhE	b2897	FAD assembly factor	respiratory chain complex II assembly // protein flavinylation // succinate metabolic process	cytoplasm // cytosol	protein binding	P64559	ygfY // cptB
ygfX	b2896	protein YgfX	regulation of cell shape	membrane // plasma membrane	protein binding	Q46824	cptA
fldB	b2895	oxidized flavodoxin 2 // flavodoxin 2		cytosol	electron transfer activity // FMN binding	P0ABY4	
xerD	b2894	site-specific recombinase	DNA transposition // resolution of DNA recombination intermediates // plasmid maintenance // cell division // DNA integration // chromosome segregation // cell cycle // DNA recombination // response to radiation	Holliday junction resolvase complex // cytoplasm // cytosol	site-specific recombinase activity // tyrosine-based site-specific recombinase activity // DNA binding	P0A8P8	xprB
dsbC	b2893	protein disulfide isomerase DsbC	response to copper ion // chaperone-mediated protein folding	periplasmic space // outer membrane-bounded periplasmic space	disulfide oxidoreductase activity // protein-disulfide reductase activity // protein homodimerization activity // protein disulfide isomerase activity	P0AEG6	xprA
recJ	b2892	ssDNA-specific exonuclease RecJ	response to X-ray // DNA recombination // DNA repair	cytosol	protein binding // 5'-3' exonuclease activity // nucleic acid binding // hydrolase activity // exonuclease activity // nuclease activity // single-stranded DNA 5'-3' DNA exonuclease activity	P21893	
prfB	b2891	peptide chain release factor RF2	translation // translational termination	cytoplasm // cytosol	translation release factor activity // translation release factor activity, codon specific	P07012	supK
lysS	b2890	lysine&mdash;tRNA ligase	organic substance biosynthetic process // positive regulation of macrophage activation // diadenosine tetraphosphate biosynthetic process // lysyl-tRNA aminoacylation // tRNA aminoacylation for protein translation // translation	extracellular space // aminoacyl-tRNA synthetase multienzyme complex // membrane // cytoplasm // cytosol	ATP adenylyltransferase activity // magnesium ion binding // tRNA binding // protein binding // aminoacyl-tRNA ligase activity // nucleic acid binding // metal ion binding // ligase activity // ATP binding // nucleotide binding // protein homodimerization activity // lysine-tRNA ligase activity	P0A8N3	asuD // herC
idi	b2889	isopentenyl-diphosphate &Delta;-isomerase	dimethylallyl diphosphate biosynthetic process // DNA damage response // isoprenoid biosynthetic process	cytoplasm // cytosol	catalytic activity // isomerase activity // metal ion binding // magnesium ion binding // zinc ion binding // isopentenyl-diphosphate delta-isomerase activity	Q46822	ygfV
uacT	b2888	urate:H<sup>+</sup> symporter	proton transmembrane transport // nucleobase transport // monoatomic ion transport // transmembrane transport // urate transport // xanthine transport	membrane // plasma membrane	nucleobase transmembrane transporter activity // transmembrane transporter activity // symporter activity // urate transmembrane transporter activity // xanthine transmembrane transporter activity	Q46821	ygfU
ygfT	b2887	putative oxidoreductase YgfT	urate catabolic process	cytosol	4 iron, 4 sulfur cluster binding // iron-sulfur cluster binding // metal ion binding // oxidoreductase activity	Q46820	
ygfS	b2886	putative electron transport protein YgfS		plasma membrane	4 iron, 4 sulfur cluster binding // iron-sulfur cluster binding // metal ion binding	Q46819	
guaD	b2883	guanine deaminase	guanine metabolic process // guanine catabolic process	cytosol	hydrolase activity, acting on carbon-nitrogen (but not peptide) bonds // hydrolase activity // metal ion binding // ammeline aminohydrolase activity // zinc ion binding // guanine deaminase activity	P76641	ygfP
xanQ	b2882	xanthine:H+ symporter XanQ	transmembrane transport // xanthine transport	membrane // plasma membrane	nucleobase transmembrane transporter activity // transmembrane transporter activity // xanthine transmembrane transporter activity	P67444	ygfO
xdhD	b2881	fused putative xanthine/hypoxanthine oxidase: molybdopterin-binding subunit and Fe-S binding subunit	purine ribonucleoside salvage // purine nucleobase metabolic process	plasma membrane	metal ion binding // 2 iron, 2 sulfur cluster binding // iron-sulfur cluster binding // oxidoreductase activity // iron ion binding	Q46814	ygfN
ygfM	b2880	putative oxidoreductase		cytosol	FAD binding // flavin adenine dinucleotide binding // oxidoreductase activity	P64557	
ssnA	b2879	putative aminohydrolase SsnA	negative regulation of cell growth	cytosol	hydrolase activity, acting on carbon-nitrogen (but not peptide) bonds // metal ion binding // hydrolase activity	Q46812	ygfL
ygfK	b2878	putative oxidoreductase, Fe-S subunit	uracil catabolic process // thymine catabolic process	cytosol	uracil binding // NADP binding // metal ion binding // 4 iron, 4 sulfur cluster binding // iron-sulfur cluster binding // iron ion binding // oxidoreductase activity	Q46811	
mocA	b2877	molybdenum cofactor cytidylyltransferase	Mo(VI)-molybdopterin cytosine dinucleotide biosynthetic process // Mo-molybdopterin cofactor biosynthetic process		transferase activity // metal ion binding // nucleotide binding // molybdenum cofactor cytidylyltransferase activity // magnesium ion binding // protein binding	Q46810	ygfJ
yqeC	b2876	uncharacterized protein YqeC	biosynthetic process	membrane	ATP binding	Q46809	
yqeB	b2875	XdhC-CoxI family protein YqeB		cytosol		Q46808	
yqeA	b2874	putative amino acid kinase YqeA	arginine deiminase pathway // arginine metabolic process // phosphorylation	cytosol	carbamate kinase activity // transferase activity // kinase activity	Q46807	
hyuA	b2873	phenylhydantoinase	pyrimidine nucleobase catabolic process	cytoplasm // cytosol	hydrolase activity, acting on carbon-nitrogen (but not peptide) bonds // hydrolase activity // hydrolase activity, acting on carbon-nitrogen (but not peptide) bonds, in cyclic amides // metal ion binding // identical protein binding	Q46806	ygeZ
ygeY	b2872	putative peptidase YgeY	arginine biosynthetic process // proteolysis	plasma membrane // cytosol	acetylornithine deacetylase activity // metal ion binding // hydrolase activity // metallopeptidase activity // peptidase activity	P65807	
ygeX	b2871	2,3-diaminopropionate ammonia-lyase		cytosol	lyase activity // protein homodimerization activity // pyridoxal phosphate binding // diaminopropionate ammonia-lyase activity	P66899	
ygeW	b2870	putative carbamoyltransferase YgeW	arginine biosynthetic process via ornithine // citrulline biosynthetic process // amino acid metabolic process	cytosol	ornithine carbamoyltransferase activity // transferase activity // carboxyl- or carbamoyltransferase activity // amino acid binding	Q46803	
ygeV	b2869	putative &sigma;<sup>54</sup>-dependent transcriptional regulator YgeV	regulation of DNA-templated transcription // urate catabolic process // DNA-templated transcription	cytosol	ATP hydrolysis activity // sequence-specific DNA binding // ATP binding // DNA binding // nucleotide binding	Q46802	
xdhC	b2868	putative xanthine dehydrogenase iron-sulfur-binding subunit XdhC	hypoxanthine catabolic process // purine ribonucleoside salvage // purine nucleobase metabolic process	cytoplasm // xanthine dehydrogenase complex // cytosol	oxidoreductase activity // 2 iron, 2 sulfur cluster binding // iron-sulfur cluster binding // metal ion binding	Q46801	ygeU
xdhB	b2867	putative xanthine dehydrogenase FAD-binding subunit XdhB	hypoxanthine catabolic process // purine ribonucleoside salvage // purine nucleobase metabolic process	cytoplasm // xanthine dehydrogenase complex // cytosol	flavin adenine dinucleotide binding // FAD binding // oxidoreductase activity // xanthine dehydrogenase activity	Q46800	ygeT
xdhA	b2866	putative xanthine dehydrogenase molybdenum-binding subunit XdhA	hypoxanthine catabolic process // purine ribonucleoside salvage // purine nucleobase metabolic process	cytoplasm // xanthine dehydrogenase complex // cytosol	iron ion binding // metal ion binding // oxidoreductase activity // xanthine dehydrogenase activity	Q46799	ygeS
actS	b2865	amidase activator	septum digestion after cytokinesis // cellular response to cell envelope stress // positive regulation of hydrolase activity	membrane // plasma membrane // cell division site // cell outer membrane	metalloendopeptidase activity // protein binding // peptidoglycan binding	Q46798	ygeR
glyU	b2864	tRNA-Gly(CCC)		cytosol // cytoplasm	triplet codon-amino acid adaptor activity		supT // suA36 // sufD // sumA // sumB
ygeQ	b2863	putative lipoprotein YgeQ	carbohydrate metabolic process	membrane // plasma membrane		Q46797	
ygeP	b2862	protein YgeP		cytosol		Q46796	
insC4	b2861	IS2 insertion element repressor InsA	DNA transposition // transposition // DNA recombination	cytosol	transposase activity // DNA binding	P0CF43	yi21-4
insD4	b2860	IS2 insertion element protein InsB	transposition // DNA integration // DNA recombination	cytosol	DNA binding // nucleic acid binding	P0CF56	yi22-4
ygeO	b2859	putative uncharacterized protein YgeO		cytosol		Q46795	
ygeN	b2858	putative type III secretion system protein YgeN				Q46793	ygeM // b2857 // ECK2856
ygeL	b2856	protein YgeL	phosphorelay signal transduction system // regulation of DNA-templated transcription	cytosol	DNA binding	Q46791	
ygeK	b2855	putative DNA-binding transcriptional regulator YgeK	regulation of DNA-templated transcription // phosphorelay signal transduction system // DNA-templated transcription	cytosol	DNA binding	Q46791	
pbl	b2854	transglycosylase domain-containing protein Pbl		periplasmic space		Q46790	ygeJ
ygeI	b2853	protein YgeI				Q46789	
ygeH	b2852	putative transcriptional regulator YgeH	phosphorelay signal transduction system // regulation of DNA-templated transcription	cytosol	DNA binding	P76639	
ygeG	b2851	TPR repeat-containing putative chaperone YgeG		cytosol		Q46787	
ygeF	b2850	protein YgeF				Q46786	
yqeK	b2849	protein YqeK				P77136	
yqeJ	b2848	protein YqeJ		membrane // plasma membrane		Q46943	
yqeI	b2847	putative transcriptional regulator YqeI	phosphorelay signal transduction system // regulation of DNA-templated transcription	plasma membrane // cytosol	DNA binding	Q46942	
yqeH	b2846	putative LuxR family transcriptional regulator YqeH	regulation of DNA-templated transcription	cytosol	DNA binding	Q46941	
yqeG	b2845	putative transporter YqeG	amino acid transmembrane transport	membrane // plasma membrane		P63340	
yqeF	b2844	putative acyltransferase	fatty acid beta-oxidation // small molecule metabolic process // 1-butanol biosynthetic process	cytoplasm // cytosol	acyltransferase activity, transferring groups other than amino-acyl groups // transferase activity // acyltransferase activity // acetyl-CoA C-acetyltransferase activity // acetyl-CoA C-acyltransferase activity	Q46939	
kduI	b2843	5-dehydro-4-deoxy-D-glucuronate isomerase	pectin catabolic process // D-galacturonate catabolic process // D-glucuronate catabolic process	cytosol	protein homodimerization activity // glucose-6-phosphate isomerase activity // zinc ion binding // intramolecular oxidoreductase activity, interconverting aldoses and ketoses // isomerase activity // identical protein binding // protein binding // metal ion binding // 4-deoxy-L-threo-5-hexosulose-uronate ketol-isomerase activity	Q46938	yqeE
kduD	b2842	putative 2-keto-3-deoxy-D-gluconate dehydrogenase	D-galacturonate catabolic process // D-glucuronate catabolic process	cytosol	11-deoxycorticosterone reductase activity // NAD binding // 2-dehydro-3-deoxy-D-gluconate 5-dehydrogenase activity // oxidoreductase activity // 2-deoxy-D-gluconate 3-dehydrogenase activity // oxidoreductase activity, acting on the CH-OH group of donors, NAD or NADP as acceptor // steroid dehydrogenase activity, acting on the CH-OH group of donors, NAD or NADP as acceptor	P37769	yqeD // ygeC
araE	b2841	arabinose:H<sup>+</sup> symporter	organic substance transport // transmembrane transport // L-arabinose transmembrane transport // fucose transmembrane transport	membrane // plasma membrane	glucose transmembrane transporter activity // transmembrane transporter activity // L-arabinose transmembrane transporter activity // fucose transmembrane transporter activity // symporter activity	P0AE24	
ygeA	b2840	amino acid racemase YgeA		cytosol	protein binding // racemase activity, acting on amino acids and derivatives // racemase and epimerase activity, acting on amino acids and derivatives // isomerase activity // amino-acid racemase activity	P03813	
lysR	b2839	DNA-binding transcriptional dual regulator LysR	regulation of DNA-templated transcription // positive regulation of gene expression // lysine biosynthetic process via diaminopimelate	cytoplasm // cytosol	sequence-specific DNA binding // DNA-binding transcription factor activity // DNA binding	P03030	
lysA	b2838	diaminopimelate decarboxylase	lysine biosynthetic process // amino acid biosynthetic process // lysine biosynthetic process via diaminopimelate	cytosol	carbon-carbon lyase activity // protein binding // carboxy-lyase activity // lyase activity // catalytic activity // protein homodimerization activity // pyridoxal phosphate binding // diaminopimelate decarboxylase activity	P00861	
galR	b2837	DNA-binding transcriptional dual regulator GalR	galactose metabolic process // regulation of DNA-templated transcription // DNA-templated transcription	cytosol	transcription cis-regulatory region binding // identical protein binding // protein binding // DNA-binding transcription factor activity // DNA binding	P03024	Rgal
aas	b2836	fused 2-acylglycerophospho-ethanolamine acyltransferase/acyl-acyl carrier protein synthetase	long-chain fatty acid metabolic process // phospholipid biosynthetic process // metabolic process // fatty acid metabolic process	membrane // plasma membrane	medium-chain fatty acid-CoA ligase activity // long-chain fatty acid-CoA ligase activity // ligase activity // acyltransferase activity // transferase activity // catalytic activity // ATP binding // nucleotide binding // acyl-[acyl-carrier-protein]-phospholipid O-acyltransferase activity // long-chain fatty acid [acyl-carrier-protein] ligase activity	P31119	
lplT	b2835	lysophospholipid transporter	transmembrane transport // lysophospholipid transport // lipid transport // phospholipid translocation // glycerophospholipid metabolic process	membrane // plasma membrane	transmembrane transporter activity // lysophospholipid:sodium symporter activity // lipid transporter activity	P39196	ygeD
tas	b2834	putative NADP(H)-dependent aldo-keto reductase Tas	cellular response to amino acid starvation	cytosol	oxidoreductase activity // aldo-keto reductase (NADP) activity	P0A9T4	ygdS
ygdR	b2833	DUF903 domain-containing lipoprotein YgdR		plasma membrane // membrane // outer membrane-bounded periplasmic space		P65294	
ygdQ	b2832	PF03741 family inner membrane protein YgdQ		membrane // plasma membrane		P67127	
mutH	b2831	DNA mismatch repair protein MutH	regulation of DNA recombination // DNA modification // DNA damage response // DNA repair // mismatch repair	cytoplasm // cytosol // mismatch repair complex	T/G mismatch-specific endonuclease activity // hydrolase activity // nuclease activity // DNA binding // protein binding // endonuclease activity	P06722	mutR // prv
rppH	b2830	RNA pyrophosphohydrolase	deadenylation-dependent decapping of nuclear-transcribed mRNA // NAD-cap decapping // tRNA processing // RNA destabilization // RNA decapping // mRNA catabolic process	P-body // cytoplasm // cytosol	pyrophosphatase activity // RNA NAD-cap (NMN-forming) hydrolase activity // hydrolase activity // magnesium ion binding // protein binding // hydrolase activity, acting on acid anhydrides, in phosphorus-containing anhydrides // mRNA 5'-diphosphatase activity	P0A776	ygdP // nudH
ptsP	b2829	PtsP-<i>N</i>-phospho-L-histidine // phosphoenolpyruvate-protein phosphotransferase PtsP	organic substance transport // phosphoenolpyruvate-dependent sugar phosphotransferase system // phosphorylation // response to organonitrogen compound // protein phosphorylation	cytoplasm // cytosol	transferase activity, transferring phosphorus-containing groups // catalytic activity // metal ion binding // transferase activity // kinase activity // phosphoenolpyruvate-protein phosphotransferase activity	P37177	ygdO // ygdF
